[HIGHEST OVERHEAD]: Salary Expense, 33.46%

[CASH DEFICIT] Day:1, AMOUNT: USD12600.0
[CASH DEFICIT] Day:2, AMOUNT: USD139120.0
[CASH DEFICIT] Day:3, AMOUNT: USD84120.0
[CASH DEFICIT] Day:4, AMOUNT: USD358484.0
[CASH DEFICIT] Day:5, AMOUNT: USD484561.0
[CASH DEFICIT] Day:6, AMOUNT: USD2261683.0
[CASH DEFICIT] Day:7, AMOUNT: USD-71775.0
[CASH DEFICIT] Day:8, AMOUNT: USD-194317.0
[CASH DEFICIT] Day:9, AMOUNT: USD-63871.0
[CASH DEFICIT] Day:10, AMOUNT: USD-152875.0
[CASH DEFICIT] Day:11, AMOUNT: USD436132.0
[CASH DEFICIT] Day:12, AMOUNT: USD-251501.0
[CASH DEFICIT] Day:13, AMOUNT: USD-33048.0
[CASH DEFICIT] Day:14, AMOUNT: USD-89179.0
[CASH DEFICIT] Day:15, AMOUNT: USD323307.0
[CASH DEFICIT] Day:16, AMOUNT: USD157913.0
[CASH DEFICIT] Day:17, AMOUNT: USD-140296.0
[CASH DEFICIT] Day:18, AMOUNT: USD-153441.0
[CASH DEFICIT] Day:19, AMOUNT: USD-623850.0
[CASH DEFICIT] Day:20, AMOUNT: USD707570.0
[CASH DEFICIT] Day:21, AMOUNT: USD-218847.0
[CASH DEFICIT] Day:22, AMOUNT: USD420668.0
[CASH DEFICIT] Day:23, AMOUNT: USD-212999.0
[CASH DEFICIT] Day:24, AMOUNT: USD-149553.0
[CASH DEFICIT] Day:25, AMOUNT: USD186003.0
[CASH DEFICIT] Day:26, AMOUNT: USD-120215.0
[CASH DEFICIT] Day:27, AMOUNT: USD225816.0
[CASH DEFICIT] Day:28, AMOUNT: USD-5657.0
[CASH DEFICIT] Day:29, AMOUNT: USD41411.0
[CASH DEFICIT] Day:30, AMOUNT: USD-94416.0
[CASH DEFICIT] Day:31, AMOUNT: USD-103979.0
[CASH DEFICIT] Day:32, AMOUNT: USD154987.0
[CASH DEFICIT] Day:33, AMOUNT: USD27839.0
[CASH DEFICIT] Day:34, AMOUNT: USD-110028.0
[CASH DEFICIT] Day:35, AMOUNT: USD144368.0
[CASH DEFICIT] Day:36, AMOUNT: USD-10888.0
[CASH DEFICIT] Day:37, AMOUNT: USD-87339.0
[CASH DEFICIT] Day:38, AMOUNT: USD2799.0
[CASH DEFICIT] Day:39, AMOUNT: USD-85525.0
[CASH DEFICIT] Day:40, AMOUNT: USD-92285.0
[CASH DEFICIT] Day:41, AMOUNT: USD21415.0
[CASH DEFICIT] Day:42, AMOUNT: USD185269.0
[CASH DEFICIT] Day:43, AMOUNT: USD-379152.0
[CASH DEFICIT] Day:44, AMOUNT: USD-405821.0
[CASH DEFICIT] Day:45, AMOUNT: USD-431679.0
[CASH DEFICIT] Day:46, AMOUNT: USD-228413.0
[CASH DEFICIT] Day:47, AMOUNT: USD-862098.0
[CASH DEFICIT] Day:48, AMOUNT: USD1377477.0
[CASH DEFICIT] Day:49, AMOUNT: USD760516.0
[CASH DEFICIT] Day:50, AMOUNT: USD-95447.0
[CASH DEFICIT] Day:51, AMOUNT: USD-25141.0
[CASH DEFICIT] Day:52, AMOUNT: USD-1182283.0
[CASH DEFICIT] Day:53, AMOUNT: USD45252.0
[CASH DEFICIT] Day:54, AMOUNT: USD99723.0
[CASH DEFICIT] Day:55, AMOUNT: USD-124256.0
[CASH DEFICIT] Day:56, AMOUNT: USD234445.0
[CASH DEFICIT] Day:57, AMOUNT: USD142340.0
[CASH DEFICIT] Day:58, AMOUNT: USD121930.0
[CASH DEFICIT] Day:59, AMOUNT: USD372180.0
[CASH DEFICIT] Day:60, AMOUNT: USD1127.0
[CASH DEFICIT] Day:61, AMOUNT: USD307841.0
[CASH DEFICIT] Day:62, AMOUNT: USD84846.0
[CASH DEFICIT] Day:63, AMOUNT: USD58257.0
[CASH DEFICIT] Day:64, AMOUNT: USD-12419.0
[CASH DEFICIT] Day:65, AMOUNT: USD-168055.0
[CASH DEFICIT] Day:66, AMOUNT: USD233541.0
[CASH DEFICIT] Day:67, AMOUNT: USD57867.0
[CASH DEFICIT] Day:68, AMOUNT: USD-160490.0
[CASH DEFICIT] Day:69, AMOUNT: USD-16468.0
[CASH DEFICIT] Day:70, AMOUNT: USD-67599.0
[CASH DEFICIT] Day:71, AMOUNT: USD-11950.0
[CASH DEFICIT] Day:72, AMOUNT: USD-146595.0
[CASH DEFICIT] Day:73, AMOUNT: USD-1329453.0
[CASH DEFICIT] Day:74, AMOUNT: USD-18125.0
[CASH DEFICIT] Day:75, AMOUNT: USD-66368.0
[CASH DEFICIT] Day:76, AMOUNT: USD-64114.0
[CASH DEFICIT] Day:77, AMOUNT: USD763246.0
[CASH DEFICIT] Day:78, AMOUNT: USD-893762.0
[CASH DEFICIT] Day:79, AMOUNT: USD-261854.0
[CASH DEFICIT] Day:80, AMOUNT: USD-137998.0
[CASH DEFICIT] Day:81, AMOUNT: USD-365458.0
[CASH DEFICIT] Day:82, AMOUNT: USD115481.0
[CASH DEFICIT] Day:83, AMOUNT: USD-188587.0
[CASH DEFICIT] Day:84, AMOUNT: USD-177676.0
[CASH DEFICIT] Day:85, AMOUNT: USD-193272.0
[CASH DEFICIT] Day:86, AMOUNT: USD-12430.0
[CASH DEFICIT] Day:87, AMOUNT: USD-69467.0
[CASH DEFICIT] Day:88, AMOUNT: USD140647.0
[CASH DEFICIT] Day:89, AMOUNT: USD-85834.0
[CASH DEFICIT] Day:90, AMOUNT: USD-19138.0


[PROFIT DEFICIT] DAY: 2, AMOUNT: 139120 USD
[PROFIT DEFICIT] DAY: 3, AMOUNT: 84120 USD
[PROFIT DEFICIT] DAY: 6, AMOUNT: 1660 USD
[PROFIT DEFICIT] DAY: 9, AMOUNT: 23617 USD
[PROFIT DEFICIT] DAY: 20, AMOUNT: 6836 USD
[PROFIT DEFICIT] DAY: 27, AMOUNT: 16023 USD
[PROFIT DEFICIT] DAY: 36, AMOUNT: 35004 USD
